Month,Price
1/1/2010,40.36
2/1/2010,40.84
3/1/2010,42.00
4/1/2010,
5/1/2010,38.41
6/1/2010,36.73
7/1/2010,39.11
8/1/2010,38.31
9/1/2010,
10/1/2010,41.63
11/1/2010,41.57
12/1/2010,41.45
1/1/2011,43.33
2/1/2011,40.17
3/1/2011,40.22
4/1/2011,42.78
5/1/2011,42.97
6/1/2011,41.63
7/1/2011,41.29
8/1/2011,41.66
9/1/2011,40.95
10/1/2011,44.75
11/1/2011,46.47
12/1/2011,47.15
1/1/2012,48.71
2/1/2012,46.90
3/1/2012,48.59
4/1/2012,47.08
5/1/2012,52.60
6/1/2012,56.10
7/1/2012,59.89
8/1/2012,58.42
9/1/2012,59.70
10/1/2012,60.69
11/1/2012,58.26
12/1/2012,55.20
1/1/2013,56.90
2/1/2013,57.58
3/1/2013,60.87
4/1/2013,63.63
5/1/2013,61.27
6/1/2013,61.35
7/1/2013,64.20
8/1/2013,60.11
9/1/2013,61.29
10/1/2013,63.60
11/1/2013,67.13
12/1/2013,65.21
1/1/2014,62.24
2/1/2014,62.26
3/1/2014,63.70
4/1/2014,66.86
5/1/2014,64.40
6/1/2014,63.36
7/1/2014,62.10
8/1/2014,63.73
9/1/2014,64.97
10/1/2014,64.80
11/1/2014,74.37
12/1/2014,72.96
1/1/2015,72.60
2/1/2015,71.71
3/1/2015,70.27
4/1/2015,67.08
5/1/2015,
6/1/2015,61.35
7/1/2015,62.26
8/1/2015,55.99
9/1/2015,56.46
10/1/2015,49.85
11/1/2015,51.24
12/1/2015,53.38
1/1/2016,58.27
2/1/2016,58.25
3/1/2016,60.14
4/1/2016,59.15
5/1/2016,62.61
6/1/2016,65.07
7/1/2016,65.02
8/1/2016,63.66
9/1/2016,64.70
10/1/2016,62.82
11/1/2016,63.19
12/1/2016,62.01
1/1/2017,60.31
2/1/2017,64.09
3/1/2017,65.13
4/1/2017,68.43
5/1/2017,71.55
6/1/2017,69.35
7/1/2017,73.30
8/1/2017,71.54
9/1/2017,72.05
10/1/2017,80.51
11/1/2017,89.66
12/1/2017,91.06
1/1/2018,98.81
2/1/2018,83.44
3/1/2018,82.47
4/1/2018,82.49
5/1/2018,76.97
6/1/2018,
7/1/2018,83.73
8/1/2018,89.95
9/1/2018,88.63
10/1/2018,94.65
11/1/2018,92.16
12/1/2018,87.92
1/1/2019,90.94
2/1/2019,93.94
3/1/2019,92.55
4/1/2019,98.12
5/1/2019,96.78
6/1/2019,105.98
7/1/2019,105.87
8/1/2019,109.59
9/1/2019,114.39
10/1/2019,113.02
11/1/2019,114.79
12/1/2019,114.55
1/1/2020,110.85
2/1/2020,104.25
3/1/2020,110.01
4/1/2020,118.20
5/1/2020,120.64
6/1/2020,116.99
7/1/2020,126.39
8/1/2020,135.62
9/1/2020,137.22
10/1/2020,136.08
11/1/2020,149.85
12/1/2020,141.38
1/1/2021,
2/1/2021,127.89
3/1/2021,133.70
4/1/2021,138.29
5/1/2021,140.39
6/1/2021,139.94
7/1/2021,141.46
8/1/2021,146.97
9/1/2021,138.82
10/1/2021,148.82
11/1/2021,140.07
12/1/2021,144.11
